artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Peso Pluma,GÉNESIS,LADY GAGA,7mXuWTczZNxG5EDcjFEuJR,0.646,0.736,5,-7.118,0,0.0449,0.216,0,0.415,0.873,140.098
Drake,Search & Rescue,Search & Rescue,7aRCf5cLOFN1U7kvtChY1G,0.817,0.44,10,-8.482,0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024
Morgan Wallen,Thought You Should Know,Thought You Should Know,6NHpyYvJyQsg2nXXzGYc2R,0.529,0.695,6,-6.174,1,0.0278,0.488,1.24e-05,0.142,0.514,139.993
Bad Bunny,WHERE SHE GOES,WHERE SHE GOES,7ro0hRteUMfnOioTFI5TG1,0.652,0.8,9,-4.019,0,0.0614,0.143,0.629,0.112,0.234,143.978
Young Thug,BUSINESS IS BUSINESS,Parade on Cleveland (feat. Drake),05CTjmZKjZoCKQvM1Ldq9M,0.528,0.298,3,-13.044,0,0.556,0.444,7.76e-06,0.111,0.313,166.116
Tyler Hubbard,Dancin' In The Country,Dancin’ In The Country,6Z1bV93BP95h4YjIavrQPf,0.655,0.869,7,-4.807,1,0.0633,0.00408,0,0.104,0.541,114.984
Latto,Put It On Da Floor Again (feat. Cardi B),Put It On Da Floor Again (feat. Cardi B),6c6WmIHcHlhccEwSFBhzNa,0.849,0.614,1,-7.323,1,0.317,0.0282,0,0.0603,0.472,111.363
Kaliii,Area Codes,Area Codes,7sliFe6W30tPBPh6dvZsIH,0.823,0.388,1,-10.867,1,0.491,0.0187,0,0.0876,0.507,154.569
PinkPantheress,Boy's a liar Pt. 2,Boy's a Liar Pt. 2,6AQbmUe0Qwf5PZnt4HmTXv,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962
Kane Brown,Different Man,Bury Me in Georgia,4EKH0ajMHXTkq4ztWuztVH,0.376,0.835,2,-5.824,0,0.0655,0.0118,3.71e-06,0.471,0.511,160.069
